date,策略净值,等权基准净值
2022-11-04,19350670.21808992,13151846.123590864
2022-11-07,19457472.158089917,13249045.551049031
2022-11-08,19181040.23808992,13202538.611043297
2022-11-09,18865549.798089918,13169628.214654712
2022-11-10,19058752.618089918,13231401.549309123
2022-11-11,19385290.618089918,13366036.326039817
2022-11-14,18935520.138089918,13190387.604243936
2022-11-15,18971576.85808992,13192097.676184194
2022-11-16,18831925.09808992,13166736.632492036
2022-11-17,18556808.238089923,13054140.227017166
2022-11-18,18403212.55808992,12973508.233914858
2022-11-21,18256693.97808992,12911880.43884522
2022-11-22,18528199.35808992,12982896.190380353
2022-11-23,18167257.69808992,12908076.9842638
2022-11-24,18173124.338089917,12965451.68611719
2022-11-25,18176231.67808992,13005663.552719235
2022-11-28,18046840.75808992,12937576.66312808
2022-11-29,18335233.018089917,13035023.122865127
2022-11-30,18575008.84019372,13127563.136481352
2022-12-01,18781300.44619372,13191449.535407417
2022-12-02,18980782.053393718,13156584.6692686
2022-12-05,19068824.377193715,13080173.646732941
2022-12-06,18921040.944793716,12903253.520355536
2022-12-07,18846269.03099372,12843496.639122067
2022-12-08,18935175.13319372,12843485.481231209
2022-12-09,19140810.89079372,12967417.299998915
2022-12-12,19124161.74139372,13018438.044017702
2022-12-13,19159422.147593718,13077265.27455971
2022-12-14,19347166.716193717,13170304.268042076
2022-12-15,19169400.625993717,13070042.002387019
2022-12-16,18950126.222793717,13055490.125297824
2022-12-19,18931947.83799372,13040366.249930892
2022-12-20,18879369.44439372,13007120.507497571
2022-12-21,19160679.12899372,13170143.512096947
2022-12-22,19239596.21039372,13220140.83362198
2022-12-23,19070881.69399372,13203416.556957297
2022-12-26,19125146.63899372,13284036.113067154
2022-12-27,19257071.78319372,13372817.280600851
2022-12-28,19350142.01539372,13362797.375563009
2022-12-29,19225063.229193717,13359808.516634477
2022-12-30,19335516.66039372,13449587.503772333
2022-12-31,19293606.099894878,13449545.862629622
2023-01-03,19257603.369894877,13446588.854918582
2023-01-04,18844170.149894875,13290022.941388624
2023-01-05,18708234.339894876,13166393.313646289
2023-01-06,18629473.319894876,13101781.181178918
2023-01-09,18639952.459894877,13130362.024967324
2023-01-10,18539937.459894877,13096153.02916215
2023-01-11,18754456.459894877,13192612.938569486
2023-01-12,18983034.659894876,13314072.127056705
2023-01-13,19172463.959894877,13404724.42533567
2023-01-16,19145672.499894876,13416784.039095787
2023-01-17,19228884.169894878,13454783.70152053
2023-01-18,19462073.51989488,13583024.476675041
2023-01-19,19473063.279894877,13589520.712792877
2023-01-20,19578059.469894875,13649613.571767421
2023-01-30,19387893.939894877,13591863.279594615
2023-01-31,19374484.056056477,13570260.747638965
2023-02-01,19441306.366456475,13548226.728217114
2023-02-02,19386667.760856476,13454826.800360065
2023-02-03,19175638.555656478,13345252.148915326
2023-02-06,19006599.534456477,13274486.800173586
2023-02-07,18925204.020856477,13280121.815941975
2023-02-08,18926747.40845648,13288139.319104044
2023-02-09,18939057.453256477,13285641.39987439
2023-02-10,18823165.798056476,13283025.525844889
2023-02-13,18743432.338856477,13287797.351713274
2023-02-14,18686762.114456475,13253148.89818014
2023-02-15,18686755.732456475,13205709.597977117
2023-02-16,18646472.909656476,13189716.770232778
2023-02-17,18670603.70005648,13151316.918976912
2023-02-20,18642260.356856477,13150415.734534878
2023-02-21,18846187.715256475,13235461.39680334
2023-02-22,18988423.839656476,13257485.231896322
2023-02-23,18958838.505256474,13261505.518971488
2023-02-24,18891046.508456476,13242268.575391747
2023-02-27,18802283.648456477,13197247.44382385
2023-02-28,18741759.52111347,13184005.576328002
2023-03-01,18778069.50111347,13204435.80057748
2023-03-02,18772108.16111347,13204269.023071975
2023-03-03,18860444.381113473,13239820.642732397
2023-03-06,18903799.581113473,13301160.350796899
2023-03-07,18817631.12111347,13315921.906003686
2023-03-08,18739049.82111347,13214894.930507008
2023-03-09,18713036.70111347,13189866.516743544
2023-03-10,18718998.041113473,13195568.75121104
2023-03-13,18611693.921113472,13165443.259975037
2023-03-14,18402505.081113473,13096947.821692465
2023-03-15,18063250.64111347,12936904.586654423
2023-03-16,18102270.32111347,12876948.115891727
2023-03-17,18044824.68111347,12865228.509551913
2023-03-20,17993340.38111347,12932394.941823626
2023-03-21,18093599.28111347,12913807.50288139
2023-03-22,18171096.701113474,12923360.460272353
2023-03-23,18183019.381113473,12945844.622444913
2023-03-24,18066502.28111347,12886410.148605563
2023-03-27,18245884.421113472,12988084.538543668
2023-03-28,18375408.081113473,13057018.114813011
2023-03-29,18405214.78111347,13131756.463338733
2023-03-30,18424182.681113474,13166023.246834584
2023-03-31,18456852.63531359,13193367.333120944
2023-04-03,18465900.43491359,13388213.436661676
2023-04-04,18488366.39991359,13438681.80066125
2023-04-06,18811275.41531359,13450398.75727564
2023-04-07,18791407.06151359,13411738.374096695
2023-04-10,18700275.90131359,13379116.795532528
2023-04-11,18733324.00111359,13377608.971509788
2023-04-12,18861510.74891359,13458051.825904913
2023-04-13,18913028.048113592,13492507.329772787
2023-04-14,19115366.41311359,13555754.95862846
2023-04-17,19021100.52731359,13495273.94198344
2023-04-18,18921228.55191359,13529142.0209613
2023-04-19,18943866.74911359,13468502.748680426
2023-04-20,18936926.00011359,13339968.41923124
2023-04-21,18934661.07811359,13293684.401579708
2023-04-24,18805095.03591359,13234942.792577136
2023-04-25,18885611.66471359,13248143.317731012
2023-04-26,18761737.83891359,13185830.223913517
2023-04-27,18782410.806913592,13136515.147364305
2023-04-28,18602699.03879759,13144565.131132828
2023-05-04,18968856.36639759,13075944.568361007
2023-05-05,18989597.94999759,13097455.17215517
2023-05-08,18902445.427997593,13108142.036400352
2023-05-09,18926786.544397593,13128169.40545177
2023-05-10,18901661.42439759,13084376.62456796
2023-05-11,18806499.69399759,13004271.053922897
2023-05-12,18361246.06479759,12876614.700474212
2023-05-15,18332029.514397588,12848299.805852957
2023-05-16,18274348.65239759,12848113.078450158
2023-05-17,18180330.414397594,12816521.575675057
2023-05-18,18247864.69239759,12863123.72713771
2023-05-19,18177284.03519759,12854779.230268024
2023-05-22,18242192.13559759,12767193.477579558
2023-05-23,18152349.453997593,12801262.971309265
2023-05-24,18074265.81799759,12789860.660839148
2023-05-25,17938096.64919759,12694969.64476416
2023-05-26,17910002.19439759,12662104.793827437
2023-05-29,18042665.19479759,12756919.142231356
2023-05-30,18045069.105997592,12694632.93574745
2023-05-31,18097504.83954907,12596496.823534468
2023-06-01,18181696.11954907,12685827.968267707
2023-06-02,18321635.67954907,12808801.589679562
2023-06-05,18412084.41954907,12877072.091056723
2023-06-06,18352922.97954907,12896511.868201831
2023-06-07,18413790.99954907,12893968.702422615
2023-06-08,18395018.61954907,12900975.057863664
2023-06-09,18346665.51954907,12921932.94063375
2023-06-12,18153821.97954907,12881104.09688427
2023-06-13,18224929.47954907,12883938.461977225
2023-06-14,18268731.69954907,12993556.03666849
2023-06-15,18312533.91954907,13026010.660558164
2023-06-16,18383641.41954907,13153496.194893777
2023-06-19,18372833.07954907,13161152.142597917
2023-06-20,18365437.89954907,13186465.142541658
2023-06-21,18494569.11954907,13235089.90569625
2023-06-26,18323342.25954907,13085754.927484712
2023-06-27,18306276.45954907,13095951.87447336
2023-06-28,18272713.719549067,13041661.236752667
2023-06-29,18350078.67954907,13071949.191195052
2023-06-30,18401670.40215907,13145671.277159352
2023-07-03,18763207.04215907,13317305.135032983
2023-07-04,18926569.142159067,13381902.617360463
2023-07-05,18897544.712159067,13395596.620073564
2023-07-06,18932525.612159066,13394597.092747059
2023-07-07,19005066.65215907,13446791.619138174
2023-07-10,18974922.24215907,13466492.077574138
2023-07-11,19249666.392159067,13589642.027771384
2023-07-12,19346136.47215907,13665891.061519146
2023-07-13,19416895.702159066,13751517.442432048
2023-07-14,19590581.92215907,13803783.003171196
2023-07-17,19527536.052159067,13775675.29845082
2023-07-18,19477716.59215907,13779093.211336657
2023-07-19,19623199.022159066,13910158.719653746
2023-07-20,19746192.392159067,13952925.955715612
2023-07-21,19688714.20215907,13928197.600187577
2023-07-24,19654683.56215907,13943705.813106967
2023-07-25,19790090.622159068,14011663.223413115
2023-07-26,19948461.532159068,14079149.56420211
2023-07-27,20109715.62215907,14154742.67268838
2023-07-28,20078207.81215907,14129249.307217697
2023-07-31,20047619.959891066,14140580.062315496
2023-08-01,20183974.409891065,14221476.179383941
2023-08-02,20162653.239891063,14195617.09699248
2023-08-03,20050060.369891066,14099743.63191097
2023-08-04,20195065.819891065,14152920.900575673
2023-08-07,20110935.949891068,14116287.55423862
2023-08-08,20030061.739891063,14072795.610174844
2023-08-09,20254535.599891067,14128725.583310656
2023-08-10,20341197.559891067,14158195.88789403
2023-08-11,20437087.079891067,14212392.362499543
2023-08-14,20325423.949891068,14154689.377225291
2023-08-15,20369115.739891067,14177393.158459892
