date,策略净值,恒生ETF_净值,纳指ETF_净值,日经ETF_净值,德国ETF_净值,标普500ETF_净值,黄金ETF_净值
2021-12-15,1184942.4019201202,819589.3217938186,1933559.2157674388,1190422.0493764374,1100072.6581192461,1527521.4403740503,1196639.682962163
2021-12-16,1186704.68772012,820470.44549729,1880359.0475068232,1209901.1380420753,1112595.3766442463,1512391.0683219826,1207816.4992776175
2021-12-17,1183365.2668201202,810510.7848052013,1873161.7304929858,1192120.2263370315,1108742.2324827078,1497045.3173083195,1223065.717039112
2021-12-20,1171256.9332201201,798450.7261620748,1860746.358644116,1172441.352146618,1084660.081473092,1486276.369228556,1219801.0204332897
2021-12-21,1181026.59692012,803870.7963117174,1897812.5412653792,1191820.5480498679,1098146.0860384768,1507975.7996092795,1212865.991788644
2021-12-22,1186099.01032012,808206.8524314316,1921683.642694607,1189722.8000397224,1109705.5185230924,1522675.413738157,1209263.4142397284
2021-12-23,1195675.82612012,810917.2095543902,1936258.2096476275,1196215.8295949348,1124154.8091288619,1530913.6590191757,1222392.6296722644
2021-12-24,1196882.09372012,812407.6483335077,1937397.784841485,1195616.4730206076,1125118.0951692464,1530913.6590191757,1225153.6251360087
2021-12-27,1201944.30352012,812272.3881158695,1967866.4268667307,1192220.1190994196,1129934.5253711697,1552559.2446595004,1223739.6959124058
2021-12-28,1206175.20552012,815049.7312513727,1960069.333435073,1203408.1084868629,1140530.6718154005,1552020.797255512,1227913.7290933072
2021-12-29,1201221.81042012,808139.2223226127,1960489.1769275472,1198413.4703674684,1130897.8114115542,1554282.2763522626,1221551.0475870934
2021-12-30,1197638.70702012,808342.7567453443,1950352.9554663927,1191221.1914755404,1135714.2416134775,1548197.8206871962,1215559.2327624806
2021-12-31,1202281.47632012,819454.0615761804,1939616.9575874186,1192320.0118618074,1134750.955573093,1546097.8758116423,1228856.0514068939
2022-01-04,1205738.03632012,815998.4850636631,1939017.1811695986,1209801.2452796875,1152090.104300016,1555789.9290834295,1220440.2305551835
2022-01-05,1196048.76152012,802786.782281789,1877060.2772088144,1203607.8940116386,1157869.8205423239,1525313.806017699,1225489.7230662096
2022-01-06,1187570.84332012,807394.0029330538,1873581.5739854595,1170543.389661248,1144383.8159769392,1522675.413738157,1218925.5611031647
2022-01-07,1184444.46392012,822028.5143852265,1852529.4217199848,1170942.9607107996,1135714.2416134775,1517075.5607366797,1210811.9609367012
2022-01-10,1184600.30852012,829887.777126277,1853189.1757795867,1171642.2100475149,1127044.6672500158,1512660.2920239766,1212394.3848786275
