date,策略净值,银行ETF基准净值,芯片ETF基准净值
2024-08-26,14816.539999999999,16828.54503464203,11681.234963913392
2024-08-27,14799.46,16874.18013856813,11592.62229350441
2024-08-28,14707.099999999999,16744.48036951501,11548.31595829992
2024-08-29,14475.739999999998,16201.662817551962,11689.053728949479
2024-08-30,14450.439999999999,15832.979214780602,12061.748195669607
2024-09-02,14271.939999999999,15890.623556581984,11619.987971130713
2024-09-03,14136.839999999998,15613.210161662817,11656.475541299118
2024-09-04,14073.0,15557.967667436491,11586.106655974338
2024-09-05,14010.16,15532.748267898385,11483.159582999197
2024-09-06,13959.079999999998,15562.771362586605,11341.118684843625
2024-09-09,13773.219999999998,15287.759815242493,11268.143544506816
2024-09-10,13899.079999999998,15399.445727482678,11403.668805132316
2024-09-11,13696.279999999999,15043.972286374134,11388.031275060144
2024-09-12,13695.499999999998,15150.854503464205,11262.931034482757
2024-09-13,13631.399999999998,15106.420323325636,11179.530874097834
2024-09-18,13639.539999999997,15257.736720554272,11021.852445870089
2024-09-19,13668.019999999999,15256.535796766744,11083.099438652765
2024-09-20,13696.0,15370.623556581986,11010.124298315957
2024-09-23,13772.82,15610.808314087759,10894.145950280672
2024-09-24,14355.919999999998,16271.316397228637,11356.756214915798
2024-09-25,14546.48,16594.3648960739,11384.121892542102
2024-09-26,15103.979999999998,17193.625866050807,11863.672814755413
2024-09-27,15410.599999999999,17036.304849884527,12689.855653568564
2024-09-30,16978.120000000003,17821.709006928406,15099.338412189254
2024-10-08,18617.5,18322.494226327944,18093.925421010423
2024-10-09,18172.9,17208.036951501155,18505.713712910983
2024-10-10,18023.55,17899.769053117783,17310.74578989575
2024-10-11,17383.25,17708.822170900694,16135.32477947073
2024-10-14,17983.0,18287.667436489606,16736.066559743384
2024-10-15,17531.440000000002,17906.974595842956,16214.815557337608
2024-10-16,17597.690000000002,18350.11547344111,15806.936647955092
2024-10-17,17510.09,18078.706697459584,15952.886928628708
2024-10-18,18580.57,18160.36951501155,18215.116279069764
2024-10-21,18649.11,17933.394919168593,18650.36086607859
2024-10-22,18462.58,17932.19399538106,18239.875701684043
2024-10-23,18376.489999999998,17995.84295612009,17970.128307939052
2024-10-24,18385.82,17955.01154734411,18041.80032076985
2024-10-25,18372.41,17846.92840646651,18147.353648757016
2024-10-28,18248.65,17699.21478060046,18058.740978348033
2024-10-29,18175.94,17705.219399538106,17890.637530072174
2024-10-30,17937.670000000002,17493.856812933023,17628.708901363272
2024-10-31,18056.92,17384.572748267896,18028.7690457097
2024-11-01,17802.92,17569.515011547344,17236.467522052924
2024-11-04,18051.809999999998,17710.023094688222,17610.46511627907
2024-11-05,18533.21,17843.325635103927,18507.016840417
2024-11-06,18527.18,17692.00923787529,18682.939053728947
2024-11-07,19033.03,18057.090069284066,19343.62469927827
2024-11-08,18878.79,17809.699769053117,19312.34963913392
2024-11-11,19295.489999999998,17559.907621247112,20545.108259823573
2024-11-12,18960.48,17388.175519630484,20019.947874899757
2024-11-13,19100.6,17502.263279445728,20186.748195669607
