date,FAPP,DIV_bench,NDX_bench,BOND_bench,GOLD_bench
2026-03-20,26325240.12775959,23942000.0,35930131.004366815,13064325.70362189,35892604.54773689
2026-03-23,25402370.86845959,23138000.0,36436681.22270742,13061802.56693453,31868627.31033164
2026-03-24,25842851.327859588,23594000.0,36106986.89956332,13066353.734242296,33753484.92456304
2026-03-25,26167090.37465959,23750000.0,36331877.72925764,13071133.412042502,34988279.17652966
2026-03-26,25869661.20595959,23738000.0,35537117.90393013,13074342.080207182,34159424.24025058
2026-03-27,25755066.28775959,23650000.000000004,34893013.10043668,13078817.0773508,34244659.63704182
2026-03-30,25879005.01815959,23854000.000000004,34659388.64628821,13093498.876490077,34754245.27174044
2026-03-31,26161556.379985865,23926000.0,35829694.3231441,13087567.124957152,35104205.81976425
2026-04-01,26406956.58538587,23936000.0,36168122.270742364,13077645.961077044,36101714.36769242
2026-04-02,26298447.249385867,24038000.0,36137554.585152835,13077645.961077044,35399631.7815556
2026-04-03,26269441.006385867,23748000.0,36159388.64628821,13081930.532810297,35636544.48509194
2026-04-07,26226795.960985865,23604000.0,36353711.79039301,13087471.912251972,35413719.723597065
2026-04-08,26666436.03598587,23814000.0,37314410.48034935,13092137.334805956,36511622.791287094
2026-04-09,26507857.159585867,23634000.0,37565502.18340611,13088443.081844838,35688554.14484853
2026-04-10,26587027.33178587,23614000.0,37617903.930131,13094860.4181742,36074265.356382854
2026-04-13,26612936.54728587,23532000.0,38015283.84279476,13110522.908176867,35902359.94548455
2026-04-14,26802842.832885865,23634000.0,38663755.45851528,13120348.859351791,36110379.45628004
2026-04-15,26986734.83088587,23780000.0,39198689.95633188,13125299.920021327,36345857.54250054
2026-04-16,27038911.70148587,23756000.0,39408296.94323144,13125890.238793464,36454199.8421921
2026-04-17,27092772.388885867,23708000.0,39917030.56768559,13143199.908595802,36268933.362025686
2026-04-20,27105306.35178587,23802000.0,39807860.262008734,13144751.875690293,36301068.789900295
2026-04-21,27088117.45968587,23934000.000000004,39611353.71179039,13155158.624366837,36179728.85732731
2026-04-22,27184853.916885868,23832000.0,40314410.48034934,13165670.10701908,36131688.30547785
2026-04-23,27103350.31288587,23980000.0,40091703.05676855,13152149.90288304,35731535.27963083
2026-04-24,27209278.892185867,23958000.0,40879912.663755454,13143495.067981873,35583454.08029075
2026-04-27,27167076.07898587,23766000.0,40827510.917030565,13132983.585329626,35718164.64624728
2026-04-28,27016083.25148587,23860000.0,40421397.37991267,13139410.442929504,35150438.75379576
2026-04-29,27020978.92638587,23934000.000000004,40665938.86462882,13159052.824008834,34775917.55732492
2026-04-30,27067741.85428587,23752000.0,41074235.80786026,13155939.36854934,34902316.90696507
2026-05-06,27421258.681985866,23638000.0,42742358.07860262,13146408.576760482,35358458.264591254
